movieRank,movieName,moviePic,starNum,quoteNum,movieDes
94,阳光姐妹淘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,8.8,278327人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
95,告白,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,8.7,353758人评价,没有一人完全善，也没有一人完全恶。
96,上帝之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,8.9,162188人评价,被上帝抛弃了的上帝之城。
97,摔跤吧！爸爸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,9.1,461797人评价,
98,断背山,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,8.6,330085人评价,每个人心中都有一座断背山。
99,哈利·波特与魔法石,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,8.7,266988人评价,童话世界的开端。
100,加勒比海盗,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,8.6,356932人评价,约翰尼·德普的独角戏。
101,猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,8.7,234432人评价,骗子大师和执著警探的你追我跑故事。 
102,摩登时代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,9.2,92486人评价,大时代中的人生，小人物的悲喜。
103,爱在黎明破晓前,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,8.7,227745人评价,缘分是个连绵词，最美不过一瞬。
104,阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,8.6,543597人评价,绝对意义上的美轮美奂。
105,穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,8.9,151619人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
106,风之谷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,8.8,181724人评价,动画片的圣经。
107,爱在日落黄昏时,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,8.7,204497人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
108,消失的爱人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,8.7,366939人评价,年度最佳date movie。
109,侧耳倾听,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,8.8,173693人评价,少女情怀总是诗。
110,萤火虫之墓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg,8.7,209088人评价,幸福是生生不息，却难以触及的远。 
111,超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,8.8,177186人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
112,驯龙高手,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450042258.jpg,8.7,292692人评价,和谐的生活离不开摸头与被摸头。
113,倩女幽魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,8.6,260455人评价,两张绝世的脸。 
114,红辣椒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,8.9,138461人评价,梦的勾结。
115,恐怖直播,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,8.7,226975人评价,恐怖分子的“秋菊打官司”。
116,菊次郎的夏天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,8.7,186728人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,幸福终点站,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,8.6,230117人评价,有时候幸福需要等一等。 
118,岁月神偷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,8.6,313514人评价,岁月流逝，来日可追。
119,七武士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,9.2,79150人评价,时代悲歌。
120,海洋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p497010372.jpg,9.0,100501人评价,大海啊，不全是水。
121,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,8.5,387008人评价,Mr. I Don't Care其实也有Care的时候。
122,借东西的小人阿莉埃蒂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,8.7,222143人评价,曾经的那段美好会沉淀为一辈子的记忆。
123,真爱至上,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,8.5,321426人评价,爱，是个动词。
124,杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,8.6,214407人评价,关于连环杀人悬案的集体回忆。
125,电锯惊魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163771304.jpg,8.7,203225人评价,真相就在眼前。
126,谍影重重3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,8.7,184666人评价,像吃了苏打饼一样干脆的电影。
127,小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221319641.jpg,8.9,133882人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
